question,output
What was David Strickler's occupation when he invented the banana split?,a 23 - year - old “ soda jerk
What nickname did St. Vincent College students give to Strickler's banana-based sundaes?,dr. dave ’ s
What did Strickler add to his business after buying the Latrobe pharmacy?,optical
In what year did Strickler pass away?,1971
How old was Strickler when he died?,
What year did the Great American Banana Split Festival become a staple in Latrobe?,2013
Which organization founded the Carnegie Museums of Pittsburgh?,carnegie institute
In what year was Carnegie Institute (now Carnegie Museums of Pittsburgh) founded?,1895
How many museums make up Carnegie Museums of Pittsburgh?,four
Name the four museums that are part of Carnegie Museums of Pittsburgh.,"carnegie museums of art & natural history, the andy warhol museum, and carnegie science center"
What does Andrew Carnegie call the original Oakland building?,hall of architecture
What is the second oldest international exhibition of contemporary art that Carnegie Museums holds?,
In what year was the first Carnegie International held?,1896 to 1931
What was added to Carnegie Museums in 1991 through a partnership with the Buhl Foundation?,
In what year did The Andy Warhol Museum open?,1991
How many member households does Carnegie magazine reach?,"a set number of people, not households"
When did Carnegie Museums begin publishing their magazine?,1927
What was the original title of Carnegie magazine?,
What type of archive does the magazine office maintain?,
How many member and donor households receive Carnegie magazine today?,
How many people does Carnegie Museums serve each year?,1. 5 million
How many schoolchildren does Carnegie Museums serve each year?,"249, 000"
"What museum holds the title of ""most comprehensive single-artist museum in the world""?",
Approximately how many artworks and objects are in The Andy Warhol Museum's collection?,"40, 000"
What is the name of the membership group for young supporters of the four Carnegie Museums?,
What age range does the Carnegie Connectors membership target?,21 to 40
What benefit do Carnegie Connectors members receive at 21+ nights?,discounted admission
What is one of the core values of Carnegie Museums related to welcoming all people?,
What is one of the core values related to environmental impact?,"to establish and maintain a refuse and recycling system that promotes a safe, litter - free and environmentally friendly city for all of its residents and customers"
What is the mission statement of Carnegie Museums of Pittsburgh?,to preserve and expand the resources of art and science
What unique collection is housed in the Hall of Architecture?,
What ancient wonder is the Hall of Architecture modeled after?,the mausoleum at halicarnassus
"How many museums did ""The Carnegie"" refer to when it was known by that name from 1986?",andrew carnegie ’ s pittsburgh museums as the carnegie.
What expansion did Carnegie Science Center open in 2001 for its 10-year anniversary?,highmark sportsworks
What was the most important dinosaur exhibit that opened in the 2000s at Carnegie Museum of Natural History?,dinosaur armor
What collaborative event series did Carnegie Museums launch in 2017?,
In what year did Carnegie Science Center complete the PPG Science Pavilion expansion?,©2025
What do members of Carnegie Museums receive at participating science centers through the ASTC Passport Program?,free or discounted admission
What is the minimum distance that a reciprocal ASTC museum must be from Pittsburgh for a member to receive free admission?,90 miles
How many ASTC museums and science centers offer reciprocal privileges to Carnegie Museums members?,more than 300
What is the minimum distance that a reciprocal ROAM museum must be from Pittsburgh?,25 miles
What is ROAM an acronym for?,
What type of membership is free for teens aged 13-18 who are residents of Pennsylvania?,applicants must be between 13 - 18 years of age and a resident of the state of pennsylvania
What foundation generously supports the Teen Membership program?,
What discount do members receive in museum stores and cafes?,
What is the store discount during Member Shopping Days?,
What famous movie character poster inspires Hope Gillespie in her office at Carnegie Science Center?,indiana jones
What is Hope Gillespie's job title at Carnegie Science Center?,
What degree does Hope Gillespie hold from The George Washington University?,bachelor of music
What exhibition featuring waterlogged objects did Hope Gillespie research?,titanic : the artifact
What animated film studio's exhibition opened at the Science Center in May?,pixar
Who is the Vice President and board member of The Andy Warhol Foundation for the Visual Arts mentioned in the document?,
What relation is Donald Warhola to Andy Warhol?,uncle andy
What organization was born from Andy Warhol's will?,andy warhol foundation for the visual arts
How old was Andy Warhol when he passed away?,58
What is the name of the exhibition featuring frogs that Jennifer Sheridan explored?,
What rainforest did Jennifer Sheridan explore to study frogs?,borneo
Who is the Associate Curator of Amphibians and Reptiles at Carnegie Museum of Natural History?,jennifer sheridan
What is the name of the collection that has 1.4 million specimens at Carnegie Museum of Natural History?,"carnegie museum of natural history plays a critical role in both the pittsburgh region and the international scientific community by conducting research and presenting exhibitions and programs that highlight the interdependence of humanity and nature, and advocating for the protection of the earth and its inhabitants. the museum ’ s millions of objects and specimens form one of the world ’ s great archives of biodiversity and the history of life. carnegie science center"
Who is the head of the section of mollusks at Carnegie Museum of Natural History?,tim pearce
What are the hours of operation for Carnegie Museums in Oakland on Thursdays?,15213
What day of the week are Carnegie Museums in Oakland closed?,"tuesdays closings / holidays : closed thanksgiving, christmas, and dates of home steelers games and other major events at acrisure stadium. see the science center ’ s museum hours page for complete details. admission : plan your next visit with timed ticketing. see pricing. special offers : see discounts and offers. parking : $ 6 per vehicle. you can use the pay station to pay for parking at the beginning of your visit, as you are leaving, or any time in between. dining : the river view cafe is open from 10 a. m. - 3 p. m. accessibility : the museums are continually working to make programs and exhibitions accessible to all visitors. address : 117 sandusky street pittsburgh, pa 15212 - 5890 hours : mon., wed., thurs., sat., sun. 10 a. m. – 5 p. m. fri. 10 a. m. – 10 p. m. ( half price 5 – 10 p. m. ) closed tuesdays holidays / closings : the museum is closed on easter, thanksgiving, christmas, and new year ’ s day"
