question,output,correct_answer
What is Clayton at the Frick Pittsburgh?,"a pivotal year for our nation, Pittsburgh","Clayton at the Frick Pittsburgh is the historic home of the Frick family from 1882-1905, showing what life was like in 1892, a pivotal year for the nation, Pittsburgh, and the Frick family."
What is the Car and Carriage Museum at the Frick?,Historic carriages and automobiles dating back to the turn of the 20th century,"The Car and Carriage Museum at the Frick houses the Frick's collection of historic carriages and automobiles dating back to the turn of the 20th century, showing the transition from horse-drawn carriages to early automobiles."
What is currently on exhibition at the Frick Art Museum in 2025?,Museum Store for a unique and carefully curated selection of gifts,"In 2025, the Frick Art Museum is exhibiting ""Kara Walker: Harper's Pictorial History of the Civil War (Annotated)"" from March 1 through May 25, 2025."
Who is Kara Walker?,Harper’s Pictorial History of the Civil War,"Kara Walker is an artist whose exhibition ""Harper's Pictorial History of the Civil War (Annotated)"" is being displayed at the Frick Art Museum."
What accessibility features does the Frick Pittsburgh offer?,Learn Explore from anywhere Virtual Museum Exhibitions Now On View Kara Walker,"The Frick Pittsburgh offers accessibility features including ADA compliant parking, wheelchair accessible buildings, wheelchairs for visitor use, accessible restrooms, power-assist doors, and accommodations for visitors with hearing impairments."
Are service animals allowed at the Frick Pittsburgh?,Dogs are the only animals recognized as service animals,"Yes, service animals are permitted in all public areas of the Frick Pittsburgh. However, comfort animals, therapy animals, companion animals, or emotional support animals are not allowed."
What is the Educational Improvement Tax Credit Program?,Pennsylvania tax credit for businesses who make a donation to an approved nonprofit organization,"The Educational Improvement Tax Credit Program (EITC) is a Pennsylvania tax credit for businesses who make a donation to an approved nonprofit organization, including the Frick Art Pittsburgh."
How does the EITC program benefit businesses that donate to the Frick?,"Using interactive activities and adaptive lessons, we engaged students in a meaningful way","Businesses making contributions to the Frick through EITC can receive tax credits equal to 75% of their contribution (up to $750,000 per year), or 90% if they agree to provide the same amount for two consecutive tax years."
What is the Frick Pittsburgh's land acknowledgement about?,Cultural importance of land and the role of cultural institutions in the formation of collective memory,"The Frick Pittsburgh's land acknowledgement recognizes that they occupy ancestral lands of the Haudenosaunee, Lenape, Osage, and Shawnee peoples, and acknowledges the cultural importance of land and the role of cultural institutions in collective memory formation, preservation and reconciliation."
What is COMBEE according to the event at the Frick?,"all manner and forms of diversion , sport, pastime, and entert ainment","COMBEE, according to the event at the Frick, is a book by Dr. Edda Fields-Black about Harriet Tubman, the Combahee River Raid and Black Freedom during the Civil War, exploring Tubman's role in the largest slave rebellion in US history that liberated 756 people."
Who is Dr. Edda Fields-Black?,The African American Program at the Heinz History Center,Dr. Edda Fields-Black is a Professor in the Department of History and the Director of the Dietrich College Humanities Center at Carnegie Mellon University who has written a book about Harriet Tubman and the Combahee River Raid.
What restaurants are dining partners with the Pittsburgh Symphony Orchestra?,"Interested in becoming a Dining Partner? Contact Jaden Gongaware, Manager of Corporate Support","Restaurant dining partners with the Pittsburgh Symphony Orchestra include Fl. 2 @ Fairmont Pittsburgh, Braddock's Rebellion, Vallozzi's, Sultan Doner Gyro, Space Bar, Redbeard's on Sixth, and Talia."
What is Fl.2 at Fairmont Pittsburgh?,Exclusive subscriber offer: 15% discount on food portion of bill,"Fl.2 at Fairmont Pittsburgh is the Official Hotel of the PSO, offering a balance of vibrant and inviting elements designed to create the perfect dining experience with a menu paying homage to tradition using house-made and locally sourced items."
What discount do PSO subscribers receive at Vallozzi's?,discounts and special offers from our downtown Pittsburgh Dining Partners,PSO subscribers receive a 15% discount on the food portion of their bill at Vallozzi's.
